base_id,input_url,base,found,resolved_url,resolved_ext,detected_kind,content_type,http_status,note
EFTA00033061,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033061.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033061,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033061.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033063,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033063.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033063,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033063.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033064,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033064.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033064,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033064.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033066,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033066.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033066,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033066.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033067,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033067.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033067,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033067.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033070,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033070.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033070,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033070.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033071,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033071.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033071,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033071.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033074,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033074.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033074,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033074.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033076,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033076.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033076,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033076.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033077,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033077.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033077,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033077.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033078,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033078.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033078,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033078.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033080,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033080.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033080,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033080.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033082,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033082.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033082,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033082.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033083,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033083.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033083,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033083.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033087,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033087.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033087,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033087.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033089,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033089.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033089,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033089.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033091,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033091.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033091,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033091.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033094,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033094.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033094,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033094.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033095,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033095.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033095,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033095.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033096,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033096.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033096,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033096.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033097,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033097.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033097,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033097.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033098,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033098.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033098,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033098.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033099,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033099.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033099,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033099.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033100,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033100.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033100,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033100.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033103,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033103.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033103,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033103.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033104,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033104.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033104,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033104.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
